,iso_code,continent,location,date_,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,day_num,school_closures,date
23632,ESP,Europe,Spain,02/27/2020,0.043,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,27,0,2020-02-27
26112,FRA,Europe,France,02/27/2020,0.296,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,35,0,2020-02-27
36772,ITA,Europe,Italy,02/27/2020,3.341,0.083,0.04,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,28,3,2020-02-27
26113,FRA,Europe,France,02/28/2020,0.281,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,36,0,2020-02-28
19400,DEU,Europe,Germany,02/28/2020,0.024,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,34,2,2020-02-28
23633,ESP,Europe,Spain,02/28/2020,0.364,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,28,0,2020-02-28
36773,ITA,Europe,Italy,02/28/2020,3.854,0.066,0.061,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,29,3,2020-02-28
69978,SWE,Europe,Sweden,02/28/2020,0.792,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,28,0,2020-02-28
36774,ITA,Europe,Italy,02/29/2020,3.969,0.132,0.049,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,30,3,2020-02-29
19401,DEU,Europe,Germany,02/29/2020,0.37,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,35,2,2020-02-29
23634,ESP,Europe,Spain,02/29/2020,0.278,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,29,0,2020-02-29
